epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,5430.14,0.22428,0.23276,0.17303,0.81934,0.99998,1,0.995,0.99472,0.99998,1,0.995,0.99335,0.07957,0.11373,0.09434,0.58849,0.00703,0.00703,0.00703
32,369.306,0.21725,0.22733,0.16732,0.81853,0.99969,1,0.995,0.99474,0.99989,1,0.995,0.99374,0.07847,0.11386,0.0714,0.58831,0.006931,0.006931,0.006931
33,727.212,0.21666,0.22727,0.16606,0.81964,0.99997,1,0.995,0.99472,0.99997,1,0.995,0.99344,0.07883,0.11415,0.11719,0.58792,0.006832,0.006832,0.006832
34,1086.05,0.21575,0.22699,0.16518,0.81965,0.99998,1,0.995,0.99479,0.99998,1,0.995,0.99352,0.08009,0.11517,0.09033,0.5883,0.006733,0.006733,0.006733
35,1441.89,0.21703,0.22586,0.1661,0.81871,0.99995,1,0.995,0.99474,0.99995,1,0.995,0.99367,0.07974,0.11638,0.10533,0.5884,0.006634,0.006634,0.006634
36,1797.77,0.21255,0.22396,0.16208,0.81769,0.99998,1,0.995,0.99467,0.99998,1,0.995,0.99358,0.07757,0.11391,0.08586,0.58825,0.006535,0.006535,0.006535
37,2152.95,0.21425,0.22793,0.16176,0.8197,0.99942,0.99983,0.995,0.99477,0.99959,1,0.995,0.99366,0.07555,0.11158,0.21994,0.58807,0.006436,0.006436,0.006436
38,2509.2,0.21264,0.22453,0.16318,0.81642,0.99998,1,0.995,0.99475,0.99998,1,0.995,0.99391,0.07621,0.11135,0.1218,0.58711,0.006337,0.006337,0.006337
39,2865.86,0.21086,0.22062,0.15917,0.8158,0.99997,1,0.995,0.99482,0.99997,1,0.995,0.99358,0.07817,0.11378,0.08235,0.58878,0.006238,0.006238,0.006238
40,3222.98,0.209,0.22198,0.15968,0.8164,0.99968,1,0.995,0.99485,0.99984,1,0.995,0.99361,0.07697,0.11372,0.08572,0.58824,0.006139,0.006139,0.006139
41,3580.17,0.20662,0.21798,0.15577,0.81575,0.99996,1,0.995,0.9948,0.99996,1,0.995,0.99368,0.07544,0.11204,0.13608,0.58808,0.00604,0.00604,0.00604
42,3937.41,0.2077,0.21776,0.1579,0.81608,0.99998,1,0.995,0.99483,0.99998,1,0.995,0.99364,0.07693,0.11404,0.07551,0.58802,0.005941,0.005941,0.005941
43,4294.21,0.20678,0.21708,0.15699,0.81595,0.99998,1,0.995,0.99482,0.99998,1,0.995,0.99393,0.07503,0.1119,0.06712,0.58834,0.005842,0.005842,0.005842
44,4650.86,0.20569,0.21826,0.15539,0.81636,0.99996,1,0.995,0.99482,0.99996,1,0.995,0.99376,0.07435,0.11118,0.09463,0.58851,0.005743,0.005743,0.005743
45,5006.86,0.20689,0.21972,0.1547,0.81877,0.99996,1,0.995,0.99474,0.99996,1,0.995,0.99357,0.07316,0.1112,0.06238,0.58794,0.005644,0.005644,0.005644
46,5363.09,0.20664,0.22141,0.15428,0.81494,0.99998,1,0.995,0.99479,0.99998,1,0.995,0.99371,0.07161,0.11026,0.07065,0.58765,0.005545,0.005545,0.005545
47,5719.31,0.20568,0.22266,0.15326,0.81495,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.9939,0.07169,0.11013,0.08161,0.58748,0.005446,0.005446,0.005446
48,6075.79,0.20484,0.22315,0.15144,0.81572,0.99998,1,0.995,0.9948,0.99998,1,0.995,0.99409,0.07246,0.11226,0.05962,0.58676,0.005347,0.005347,0.005347
49,6432.4,0.20486,0.22113,0.15247,0.81517,0.99997,1,0.995,0.99482,0.99997,1,0.995,0.99381,0.07212,0.11149,0.11686,0.58705,0.005248,0.005248,0.005248
50,6789.07,0.20209,0.22047,0.1492,0.81537,0.99998,1,0.995,0.99482,0.99998,1,0.995,0.99368,0.06995,0.11083,0.06537,0.58737,0.005149,0.005149,0.005149
51,7146.97,0.20212,0.22177,0.14821,0.81439,0.99998,1,0.995,0.99485,0.99998,1,0.995,0.99386,0.07168,0.11144,0.06302,0.58741,0.00505,0.00505,0.00505
52,7507.59,0.20256,0.22038,0.14918,0.81565,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99395,0.07147,0.11086,0.05654,0.58707,0.004951,0.004951,0.004951
53,7868.49,0.20257,0.22298,0.14769,0.81553,0.99999,1,0.995,0.9949,0.99999,1,0.995,0.99413,0.06992,0.10953,0.05811,0.58627,0.004852,0.004852,0.004852
54,8229.01,0.20038,0.21891,0.14717,0.81592,0.99998,1,0.995,0.99486,0.99998,1,0.995,0.99417,0.06967,0.10954,0.05697,0.58672,0.004753,0.004753,0.004753
55,8590.43,0.19845,0.21734,0.14617,0.81435,0.99998,1,0.995,0.99483,0.99998,1,0.995,0.994,0.0702,0.1098,0.05815,0.587,0.004654,0.004654,0.004654
56,8952.05,0.19753,0.21753,0.14544,0.81454,0.99998,1,0.995,0.99482,0.99998,1,0.995,0.99388,0.06973,0.1096,0.05536,0.58712,0.004555,0.004555,0.004555
57,9313.36,0.19879,0.21736,0.14468,0.81453,0.99998,1,0.995,0.99476,0.99998,1,0.995,0.99388,0.07017,0.1097,0.06151,0.58694,0.004456,0.004456,0.004456
58,9675.26,0.1961,0.21943,0.1426,0.81674,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99371,0.07001,0.10951,0.06969,0.587,0.004357,0.004357,0.004357
59,10037.5,0.19759,0.21778,0.14191,0.81504,0.99998,1,0.995,0.99481,0.99998,1,0.995,0.99398,0.07032,0.10956,0.06397,0.58693,0.004258,0.004258,0.004258
60,10400.1,0.1943,0.21847,0.14112,0.81396,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99382,0.07044,0.11028,0.05978,0.58683,0.004159,0.004159,0.004159
61,10763.5,0.19345,0.21534,0.13917,0.81411,0.99998,1,0.995,0.99483,0.99998,1,0.995,0.99416,0.06954,0.11007,0.0566,0.58672,0.00406,0.00406,0.00406
62,11125,0.19275,0.21397,0.13904,0.81339,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99402,0.06944,0.11019,0.05515,0.58665,0.003961,0.003961,0.003961
63,11486.2,0.19336,0.21527,0.13961,0.81335,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99408,0.06974,0.11061,0.05361,0.58648,0.003862,0.003862,0.003862
