epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,10578.5,0.2216,0.23359,0.17052,0.81984,0.99998,1,0.995,0.99479,0.99998,1,0.995,0.99335,0.10867,0.15748,0.09519,0.76223,0.006931,0.006931,0.006931
33,10896.9,0.21822,0.23444,0.16785,0.82109,0.99997,1,0.995,0.99464,0.99997,1,0.995,0.99341,0.10948,0.15476,0.09125,0.76268,0.006832,0.006832,0.006832
34,11215.3,0.21905,0.23289,0.16611,0.82025,0.99997,1,0.995,0.99475,0.99997,1,0.995,0.9937,0.10577,0.15236,0.08895,0.76209,0.006733,0.006733,0.006733
35,11533.8,0.21646,0.23145,0.16524,0.81902,0.99998,1,0.995,0.9948,0.99998,1,0.995,0.99334,0.10316,0.15295,0.08626,0.76264,0.006634,0.006634,0.006634
36,11851,0.21665,0.22989,0.1661,0.81766,0.9998,1,0.995,0.99472,0.9998,1,0.995,0.99337,0.10509,0.15114,0.08747,0.76401,0.006535,0.006535,0.006535
37,12168.6,0.21548,0.22772,0.16394,0.82004,0.99998,1,0.995,0.99481,0.99998,1,0.995,0.9935,0.10274,0.15031,0.0846,0.76295,0.006436,0.006436,0.006436
38,12486.2,0.2148,0.23143,0.16212,0.81854,0.99998,1,0.995,0.99459,0.99998,1,0.995,0.99371,0.10258,0.15056,0.0844,0.76162,0.006337,0.006337,0.006337
39,12804.1,0.21254,0.22794,0.16052,0.81841,0.99996,1,0.995,0.99471,0.99996,1,0.995,0.99368,0.09719,0.15028,0.08065,0.76221,0.006238,0.006238,0.006238
40,13121.3,0.21149,0.22535,0.15746,0.81831,0.9997,1,0.995,0.99474,0.9997,1,0.995,0.99346,0.09925,0.1511,0.08148,0.7617,0.006139,0.006139,0.006139
41,13438.7,0.20994,0.22636,0.15842,0.81759,0.99998,1,0.995,0.99482,0.99998,1,0.995,0.99389,0.09987,0.15051,0.08191,0.76174,0.00604,0.00604,0.00604
42,13755.5,0.21059,0.22988,0.1572,0.81659,0.99998,1,0.995,0.99476,0.99998,1,0.995,0.99348,0.10224,0.15406,0.08001,0.76231,0.005941,0.005941,0.005941
43,14072.2,0.20747,0.22636,0.15524,0.81738,0.99998,1,0.995,0.99476,0.99998,1,0.995,0.99353,0.09862,0.14965,0.07736,0.76132,0.005842,0.005842,0.005842
44,14388,0.2071,0.22225,0.15516,0.81789,0.99998,1,0.995,0.99475,0.99998,1,0.995,0.99366,0.09668,0.14871,0.07645,0.76176,0.005743,0.005743,0.005743
45,14703.8,0.20674,0.2262,0.15452,0.81652,0.99998,1,0.995,0.99479,0.99998,1,0.995,0.99375,0.09684,0.14783,0.07756,0.76112,0.005644,0.005644,0.005644
46,15019.9,0.20547,0.22536,0.15155,0.81707,0.99998,1,0.995,0.9948,0.99998,1,0.995,0.99378,0.09464,0.14888,0.07563,0.7607,0.005545,0.005545,0.005545
47,15336.3,0.20524,0.22289,0.15252,0.81745,0.99998,1,0.995,0.99483,0.99998,1,0.995,0.99415,0.09333,0.14539,0.07664,0.75887,0.005446,0.005446,0.005446
48,15652.7,0.20532,0.22557,0.15198,0.8176,0.99998,1,0.995,0.99481,0.99998,1,0.995,0.99385,0.09351,0.14783,0.07611,0.76065,0.005347,0.005347,0.005347
49,15968.6,0.20257,0.22301,0.15048,0.81599,0.99998,1,0.995,0.99468,0.99998,1,0.995,0.99374,0.09548,0.14939,0.07707,0.76078,0.005248,0.005248,0.005248
50,16284,0.20145,0.22407,0.14872,0.81445,0.99998,1,0.995,0.99471,0.99998,1,0.995,0.99369,0.09433,0.14569,0.0746,0.76115,0.005149,0.005149,0.005149
51,16599,0.2008,0.22202,0.14691,0.81623,0.99998,1,0.995,0.99473,0.99998,1,0.995,0.99376,0.09525,0.14855,0.07433,0.76084,0.00505,0.00505,0.00505
52,16913.9,0.20107,0.22177,0.14806,0.81568,0.99998,1,0.995,0.9947,0.99998,1,0.995,0.99381,0.09351,0.14723,0.07328,0.76033,0.004951,0.004951,0.004951
53,17229.1,0.19941,0.22166,0.14483,0.81444,0.99997,1,0.995,0.99478,0.99997,1,0.995,0.99362,0.0921,0.14806,0.07161,0.76012,0.004852,0.004852,0.004852
54,17543.1,0.20078,0.21981,0.14541,0.8162,0.99997,1,0.995,0.99478,0.99997,1,0.995,0.99389,0.09308,0.14718,0.07215,0.76058,0.004753,0.004753,0.004753
55,17857.7,0.19979,0.22177,0.14488,0.81656,0.99998,1,0.995,0.99481,0.99998,1,0.995,0.99374,0.09228,0.14777,0.07111,0.76069,0.004654,0.004654,0.004654
56,18173.3,0.19705,0.21624,0.1449,0.81409,0.99998,1,0.995,0.99487,0.99998,1,0.995,0.99381,0.09232,0.14759,0.0712,0.76121,0.004555,0.004555,0.004555
57,18487.7,0.19451,0.21477,0.1423,0.81342,0.99998,1,0.995,0.99485,0.99998,1,0.995,0.994,0.08968,0.14445,0.0691,0.75988,0.004456,0.004456,0.004456
58,18802.4,0.19691,0.21815,0.14201,0.8133,0.99995,1,0.995,0.99483,0.99995,1,0.995,0.99388,0.09141,0.14525,0.06888,0.75966,0.004357,0.004357,0.004357
59,19118,0.1951,0.2155,0.1406,0.81403,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99398,0.09115,0.14562,0.06966,0.76012,0.004258,0.004258,0.004258
60,19433.1,0.19175,0.21247,0.13934,0.81479,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.9941,0.08938,0.14358,0.06785,0.75959,0.004159,0.004159,0.004159
61,19748.5,0.19308,0.21739,0.13853,0.81363,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99415,0.08922,0.14494,0.06799,0.75836,0.00406,0.00406,0.00406
62,20064.3,0.19324,0.21805,0.13835,0.81364,0.99998,1,0.995,0.99483,0.99998,1,0.995,0.99408,0.08892,0.14549,0.067,0.75846,0.003961,0.003961,0.003961
63,20379.2,0.19234,0.21845,0.13727,0.81415,0.99998,1,0.995,0.99488,0.99998,1,0.995,0.99394,0.0889,0.14531,0.06628,0.75819,0.003862,0.003862,0.003862
64,20695.1,0.19237,0.21354,0.13666,0.81365,0.99998,1,0.995,0.99485,0.99998,1,0.995,0.99395,0.08895,0.14531,0.06571,0.75914,0.003763,0.003763,0.003763
65,21010.3,0.1903,0.21508,0.13542,0.81396,0.99998,1,0.995,0.99486,0.99998,1,0.995,0.99381,0.08823,0.14528,0.06504,0.75907,0.003664,0.003664,0.003664
66,21325.9,0.18744,0.20921,0.13396,0.81152,0.99999,1,0.995,0.99484,0.99999,1,0.995,0.99382,0.08894,0.14603,0.06617,0.75942,0.003565,0.003565,0.003565
67,21641.6,0.18695,0.21249,0.13399,0.81115,0.99998,1,0.995,0.99481,0.99998,1,0.995,0.99399,0.08757,0.14534,0.06537,0.75891,0.003466,0.003466,0.003466
68,21957,0.18766,0.20957,0.13232,0.81318,0.99998,1,0.995,0.99481,0.99998,1,0.995,0.99385,inf,0.14471,0.06446,0.75894,0.003367,0.003367,0.003367
69,22272.7,0.18571,0.21311,0.13192,0.81121,0.99998,1,0.995,0.99486,0.99998,1,0.995,0.994,0.08585,0.14417,0.06335,0.75935,0.003268,0.003268,0.003268
70,22589.6,0.18612,0.21352,0.1317,0.81386,0.99998,1,0.995,0.99487,0.99998,1,0.995,0.99413,0.08457,0.14389,0.06298,0.75873,0.003169,0.003169,0.003169
71,22905.7,0.18379,0.20836,0.13052,0.81135,0.99998,1,0.995,0.99484,0.99998,1,0.995,0.99415,0.08474,0.14383,0.063,0.75853,0.00307,0.00307,0.00307
72,23221.8,0.18352,0.20869,0.12968,0.81057,0.99997,1,0.995,0.99489,0.99997,1,0.995,0.99416,0.08499,0.1445,0.06293,0.75811,0.002971,0.002971,0.002971
73,23537.6,0.18501,0.21275,0.12847,0.81171,0.99996,1,0.995,0.9949,0.99996,1,0.995,0.99396,0.08542,0.14461,0.06266,0.7583,0.002872,0.002872,0.002872
74,23853.6,0.18251,0.20854,0.1268,0.81166,0.99995,1,0.995,0.99488,0.99995,1,0.995,0.99397,0.08644,0.1453,0.0629,0.7583,0.002773,0.002773,0.002773
75,24169.5,0.18203,0.20836,0.12726,0.81248,0.99996,1,0.995,0.99488,0.99996,1,0.995,0.99407,0.08633,0.14478,0.06233,0.75822,0.002674,0.002674,0.002674
76,24485.3,0.18006,0.21073,0.12529,0.8095,0.99995,1,0.995,0.99489,0.99995,1,0.995,0.99413,0.08611,0.14444,0.06215,0.75846,0.002575,0.002575,0.002575
77,24800.8,0.17928,0.20799,0.12342,0.81087,0.99998,1,0.995,0.99491,0.99998,1,0.995,0.99402,0.0862,0.14469,0.06167,0.75837,0.002476,0.002476,0.002476
78,25116,0.17951,0.20995,0.12385,0.80928,0.99998,1,0.995,0.99491,0.99998,1,0.995,0.99417,0.08573,0.14412,0.06153,0.75824,0.002377,0.002377,0.002377
79,25431.3,0.18046,0.21149,0.12296,0.81199,0.99998,1,0.995,0.99491,0.99998,1,0.995,0.99423,0.08543,0.14387,0.06075,0.75784,0.002278,0.002278,0.002278
80,25747,0.1782,0.20696,0.12177,0.8097,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99425,0.08471,0.144,0.06036,0.75778,0.002179,0.002179,0.002179
81,26063.2,0.17833,0.20762,0.12175,0.81074,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99431,0.08412,0.144,0.05995,0.75823,0.00208,0.00208,0.00208
82,26378.5,0.17652,0.20792,0.12043,0.8105,0.99997,1,0.995,0.99492,0.99997,1,0.995,0.99425,0.08372,0.1435,0.0597,0.75826,0.001981,0.001981,0.001981
83,26693.6,0.17612,0.20652,0.11876,0.8102,0.99997,1,0.995,0.99492,0.99997,1,0.995,0.99423,0.08347,0.14345,0.05949,0.75825,0.001882,0.001882,0.001882
84,27008.7,0.17357,0.20509,0.11724,0.81034,0.99997,1,0.995,0.99492,0.99997,1,0.995,0.99417,0.08337,0.14363,0.05874,0.75829,0.001783,0.001783,0.001783
85,27323.9,0.17394,0.20494,0.117,0.80973,0.99998,1,0.995,0.99491,0.99998,1,0.995,0.99421,0.0833,0.14382,0.05893,0.75805,0.001684,0.001684,0.001684
86,27639.2,0.17358,0.20539,0.11685,0.81007,0.99998,1,0.995,0.99492,0.99998,1,0.995,0.99427,0.08354,0.14379,0.05906,0.75793,0.001585,0.001585,0.001585
